04-22 00:29:14.048 W/CpuPowerCalculator(  519): UID 10126 CPU freq # mismatch: Power Profile # 2 actual # 8
04-22 00:29:14.048 W/CpuPowerCalculator(  519): UID 10126 CPU freq # mismatch: Power Profile # 2 actual # 8
04-22 00:29:14.048 W/CpuPowerCalculator(  519): UID 10125 CPU freq # mismatch: Power Profile # 2 actual # 8
04-22 00:29:14.048 W/CpuPowerCalculator(  519): UID 10125 CPU freq # mismatch: Power Profile # 2 actual # 8
04-22 00:29:14.048 W/CpuPowerCalculator(  519): UID 10125 CPU freq # mismatch: Power Profile # 2 actual # 8
04-22 00:29:14.048 W/CpuPowerCalculator(  519): UID 10123 CPU freq # mismatch: Power Profile # 2 actual # 8
04-22 00:29:14.048 W/CpuPowerCalculator(  519): UID 10123 CPU freq # mismatch: Power Profile # 2 actual # 8
04-22 00:29:14.048 W/CpuPowerCalculator(  519): UID 10123 CPU freq # mismatch: Power Profile # 2 actual # 8
04-22 00:29:14.048 W/CpuPowerCalculator(  519): UID 10120 CPU freq # mismatch: Power Profile # 2 actual # 8
04-22 00:29:14.048 W/CpuPowerCalculator(  519): UID 10120 CPU freq # mismatch: Power Profile # 2 actual # 8
04-22 00:29:14.048 W/CpuPowerCalculator(  519): UID 10120 CPU freq # mismatch: Power Profile # 2 actual # 8
04-22 00:29:14.048 W/CpuPowerCalculator(  519): UID 10120 CPU freq # mismatch: Power Profile # 2 actual # 8
04-22 00:29:14.048 W/CpuPowerCalculator(  519): UID 10118 CPU freq # mismatch: Power Profile # 2 actual # 8
04-22 00:29:14.048 W/CpuPowerCalculator(  519): UID 10118 CPU freq # mismatch: Power Profile # 2 actual # 8
04-22 00:29:14.048 W/CpuPowerCalculator(  519): UID 10118 CPU freq # mismatch: Power Profile # 2 actual # 8
04-22 00:29:14.048 W/CpuPowerCalculator(  519): UID 10117 CPU freq # mismatch: Power Profile # 2 actual # 8
04-22 00:29:14.048 W/CpuPowerCalculator(  519): UID 10117 CPU freq # mismatch: Power Profile # 2 actual # 8
04-22 00:29:14.048 W/CpuPowerCalculator(  519): UID 10117 CPU freq # mismatch: Power Profile # 2 actual # 8
04-22 00:29:14.048 W/CpuPowerCalculator(  519): UID 10117 CPU freq # mismatch: Power Profile # 2 actual # 8
04-22 00:29:14.048 W/CpuPowerCalculator(  519): UID 10116 CPU freq # mismatch: Power Profile # 2 actual # 8
04-22 00:29:14.048 W/CpuPowerCalculator(  519): UID 10116 CPU freq # mismatch: Power Profile # 2 actual # 8
04-22 00:29:14.048 W/CpuPowerCalculator(  519): UID 10116 CPU freq # mismatch: Power Profile # 2 actual # 8
04-22 00:29:14.048 W/CpuPowerCalculator(  519): UID 10116 CPU freq # mismatch: Power Profile # 2 actual # 8
04-22 00:29:14.048 W/CpuPowerCalculator(  519): UID 10115 CPU freq # mismatch: Power Profile # 2 actual # 8
04-22 00:29:14.048 W/CpuPowerCalculator(  519): UID 10115 CPU freq # mismatch: Power Profile # 2 actual # 8
04-22 00:29:14.048 W/CpuPowerCalculator(  519): UID 10115 CPU freq # mismatch: Power Profile # 2 actual # 8
04-22 00:29:14.048 W/CpuPowerCalculator(  519): UID 10113 CPU freq # mismatch: Power Profile # 2 actual # 8
04-22 00:29:14.049 W/CpuPowerCalculator(  519): UID 10113 CPU freq # mismatch: Power Profile # 2 actual # 8
